Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Lounge,Garage,Garden,price,Erf Size,Kitchen,Pool,Dining Room,Parking,Bathroom,Bedroom
1.0,72.0,1900.0,1009.0,1,1.0,1.0,0.0,2390000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
2.0,69.0,1500.0,480.0,1,1.0,0.0,1.0,1095000,9102.0,0.0,1.0,1.0,2.0,3.0,1.0
1.0,120.0,1480.0,900.0,1,0.0,0.0,0.0,1095000,4.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1347.0,1,0.0,1.0,1.0,2950000,968.0,0.0,1.0,0.0,0.0,3.0,1.0
0.0,125.0,1932.0,1151.0,1,0.0,1.0,1.0,1599000,261.0,0.0,0.0,0.0,1.0,3.0,1.0
2.0,282.0,1932.0,1151.0,0,0.0,0.0,0.0,990000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,99.0,4056.0,1613.0,1,0.0,1.0,0.0,3100000,9102.0,1.0,1.0,1.0,0.0,3.0,1.0
1.0,56.0,1490.0,355.0,1,0.0,0.0,0.0,990000,56.0,1.0,1.0,0.0,1.0,3.0,1.0
0.0,1531.0,1932.0,1500.0,1,1.0,0.0,1.0,1850000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,4600000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,44.0,1609.0,245.0,0,1.0,0.0,0.0,900000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,2442.0,1,1.0,2.0,0.0,3300000,426.0,0.0,1.0,1.0,2.0,3.0,1.0
2.0,282.0,1932.0,1151.0,0,1.0,2.0,1.0,1350000,85.0,0.0,1.0,0.0,2.0,3.0,1.0
1.0,77.0,1932.0,1151.0,0,0.0,0.0,0.0,645000,9102.0,1.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,3.0,0.0,6500000,815.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,0.0,2370.0,1,1.0,3.0,1.0,3100000,975.0,1.0,1.0,1.0,3.0,3.0,1.0
1.0,282.0,1850.0,200.0,1,0.0,0.0,0.0,890000,96.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,400.0,1,1.0,1.0,0.0,860000,300.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1500.0,1,0.0,3.0,1.0,1850000,9102.0,0.0,1.0,0.0,0.0,3.0,1.0
0.0,282.0,2183.0,1151.0,0,1.0,2.0,1.0,1850000,1.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,1.0,1.0,1350000,596.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,350.0,1420.0,500.0,1,1.0,1.0,1.0,3100000,989.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,338.0,1932.0,1166.0,1,1.0,2.0,1.0,2390000,2.0,0.0,1.0,1.0,1.0,3.0,1.0
2.0,191.0,1962.0,1151.0,1,1.0,1.0,1.0,1599000,9102.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,262.0,500.0,2000.0,1,0.0,2.0,0.0,2999000,798.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,70.0,1625.0,705.0,1,0.0,0.0,1.0,1350000,9102.0,1.0,0.0,0.0,1.0,3.0,1.0
0.0,2642.0,1932.0,1151.0,1,0.0,1.0,0.0,2950000,9102.0,0.0,1.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,3495000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
2.0,75.0,660.0,613.0,1,0.0,1.0,1.0,860000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,410.0,1932.0,435.0,1,1.0,2.0,1.0,990000,9102.0,1.0,0.0,1.0,5.0,3.0,1.0
0.0,282.0,1932.0,1414.0,1,0.0,1.0,0.0,3495000,313.0,2.0,0.0,0.0,0.0,3.0,1.0
1.0,119.0,3143.0,2800.0,1,0.0,0.0,1.0,2950000,2.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,828.0,1,0.0,0.0,1.0,1850000,1.0,2.0,0.0,2.0,8.0,3.0,1.0
0.0,282.0,1932.0,3145.0,1,0.0,2.0,1.0,3495000,640.0,2.0,1.0,2.0,0.0,3.0,1.0
0.0,545.0,1932.0,2888.0,1,0.0,1.0,1.0,3495000,2.0,0.0,0.0,0.0,3.0,3.0,1.0
1.0,109.0,1500.0,1400.0,1,1.0,1.0,0.0,1599000,9102.0,1.0,0.0,1.0,2.0,3.0,1.0
1.0,70.0,1714.0,272.0,0,1.0,1.0,0.0,1095000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
1.0,100.0,2900.0,789.0,1,1.0,0.0,0.0,1350000,9102.0,1.0,1.0,1.0,2.0,3.0,1.0
1.0,89.0,2188.0,890.0,1,1.0,1.0,0.0,890000,3.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,56.0,1932.0,350.0,0,0.0,0.0,0.0,1095000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,50.0,2015.0,880.0,1,1.0,1.0,0.0,3300000,9102.0,1.0,0.0,1.0,1.0,3.0,1.0
0.0,500.0,1932.0,1224.0,1,0.0,1.0,1.0,2950000,3.0,0.0,0.0,0.0,6.0,3.0,1.0
2.0,1.0,1100.0,1089.0,1,0.0,2.0,1.0,3100000,247.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,40.0,500.0,0,0.0,0.0,0.0,1350000,2.0,0.0,0.0,1.0,6.0,3.0,1.0
0.0,1972.0,1932.0,2032.0,1,0.0,2.0,1.0,2950000,9102.0,0.0,1.0,1.0,4.0,3.0,1.0
0.0,280.0,943.0,1200.0,1,0.0,2.0,1.0,2999000,448.0,0.0,0.0,0.0,0.0,3.0,1.0
2.0,82.0,1268.0,1151.0,1,0.0,0.0,0.0,1350000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
2.0,282.0,1932.0,1151.0,1,1.0,1.0,1.0,990000,134.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,282.0,1932.0,500.0,1,0.0,1.0,0.0,1850000,190.0,1.0,0.0,0.0,1.0,3.0,1.0
2.0,130.0,2100.0,700.0,1,0.0,2.0,1.0,1599000,6.0,0.0,1.0,1.0,0.0,3.0,1.0
1.0,131.0,3000.0,1151.0,1,1.0,0.0,0.0,2580000,9102.0,1.0,1.0,0.0,1.0,3.0,1.0
0.0,478.0,1932.0,1863.0,1,1.0,1.0,1.0,3300000,2.0,0.0,0.0,1.0,2.0,3.0,1.0
0.0,172.0,1699.0,837.0,1,0.0,2.0,1.0,1350000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,10.0,0.0,890000,444.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,0.0,0.0,1850000,9102.0,0.0,1.0,1.0,2.0,3.0,1.0
0.0,282.0,1932.0,404.0,1,0.0,0.0,0.0,1850000,118.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,109.0,2200.0,600.0,0,0.0,0.0,0.0,1350000,9102.0,1.0,0.0,1.0,0.0,3.0,1.0
